"ID"	"type"	"date"	"location"	"loc "	"code"	"group size"	"num.inf"	"prop.inf"	"zswab"	"status"	"logZE"	"sd"	"SVL"	"tail"	"body.con"	"temp"	"yr.tmax"	"yr.ppt"	"rain"	"NearestAL"	"AL"	"NumAL"	"cover"	"length"	"width"	"area"	"density"	"N (lat)"	"W (long)"	"Notes"			
"MC360"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.01	3.56	1.1827242525	15.4	16.98	38.97	0.56	"NA"	"N"	0	"branch"	35	6	210	0.0048	36.6087	-121.93142				
"MC363"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.13	4.82	1.5399361022	15	16.98	38.97	0.56	"NA"	"N"	0	"log"	116	13	1508	0.0007	36.60871	-121.9315	"350 cm from 362?"			
"MC368"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.74	3.55	1.295620438	14.9	16.98	38.97	0.56	"NA"	"N"	0	"log"	185	30	5550	0.0002	36.60882	-121.93207				
"MC369"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.18	3.33	1.0471698113	14.5	16.98	38.97	0.56	"NA"	"N"	0	"branch"	60	8	480	0.0021	36.60882	-121.93207				
"MC370"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3	3.35	1.1166666667	14.4	16.98	38.97	0.56	"NA"	"N"	0	"wood piece"	40	18	720	0.0014	36.60884	-121.93214				
"MC371"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.72	3.53	1.2977941176	15.9	16.98	38.97	0.56	"NA"	"N"	0	"wood piece"	53	19	1007	0.001	36.60892	-121.93211				
"MC372"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		4.1	"--"		15.7	16.98	38.97	0.56	"NA"	"N"	0	"wood piece"	35	12	420	0.0024	36.60894	-121.93236	"tail autonomized while swabbing"			
"MC373"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.48	4.04	1.1609195402	15.9	16.98	38.97	0.56	"NA"	"N"	0	"branch"	79	8	632	0.0016	36.60888	-121.93236				
"MC379"	"B. luciae"	"1/18/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.29	4.28	1.3009118541	16.4	16.98	38.97	0.56	"NA"	"N"	0	"log"	85	12	1020	0.001	36.60865	-121.93228				
"MC386"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.26	3.53	1.0828220859	15.7	16.92	38.81	0.22	"NA"	"N"	0	"log piece"	70	9	630	0.0016	36.60795	-121.9309	"mold growing on tail? Orange"			
"MC387"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.46	4.42	1.2774566474	15.9	16.92	38.81	0.22	"NA"	"N"	0	"log piece"	53	20	1060	0.0009	36.60795	-121.9309	"1m from 382-386"			
"MC388"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.49	5.25	1.5042979943	15.6	16.92	38.81	0.22	"NA"	"N"	0	"log (oak)"	75	10	750	0.0013	36.60794	-121.93108	"l. green"			
"MC389"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.49	4.98	1.4269340974	15.8	16.92	38.81	0.22	"NA"	"N"	0	"log (oak)"	136	20	2720	0.0004	36.6079	-121.931	"160cm from 390-391"			
"MC392"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.92	4.03	1.3801369863	15.4	16.92	38.81	0.22	"NA"	"N"	0	"log (oak)"	180	24	4320	0.0002	36.6079	-121.931	"110 cm from 390"			
"MC394"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.27	3.93	1.2018348624	16.4	16.92	38.81	0.22	"NA"	"N"	0	"wood piece"	66	14	924	0.0011	36.60772	-121.93097	"d. green"			
"MC395"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.04	3.83	1.2598684211	16.6	16.92	38.81	0.22	"NA"	"N"	0	"log"	147	20	2940	0.0003	36.60772	-121.93097	"2.5 m from 394. orange"			
"MC399"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.94	2.75	0.9353741497	17.4	16.92	38.81	0.22	"NA"	"N"	0	"branch (oak)"	62	8	496	0.002	36.60779	-121.93082	"pink. 155cm from 400"			
"MC400"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.64	2.66	1.0075757576	17.4	16.92	38.81	0.22	"NA"	"N"	0	"branch (oak)"	76	9	684	0.0015	36.60779	-121.93082	"d. green. 155cm from 399"			
"MC401"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.87	1.11	0.3867595819	17.8	16.92	38.81	0.22	"NA"	"N"	0	"log"	56	12	672	0.0015	36.60782	-121.93083	"orange. tail growing."			
"MC402"	"B. luciae"	"2/6/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.81	4.99	1.7758007117	17.3	16.92	38.81	0.22	"NA"	"N"	0	"log"	256	12	3072	0.0003	36.60796	-121.93076	"red"			
"MC404"	"B. luciae"	"2/8/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.23	4.31	1.3343653251	17.6	16.92	38.81	0.4	"NA"	"N"	0	"log"	110	10	1100	0.0009	36.60948	-121.93098	"d.green"			
"MC405"	"B. luciae"	"2/8/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.91	3.33	1.1443298969	18.1	16.92	38.81	0.4	"NA"	"N"	0	"bark"	30	12	360	0.0028	36.60946	-121.93082	"pink"			
"MC406"	"B. luciae"	"2/8/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.47	4.35	1.2536023055	17	16.92	38.81	0.4	"NA"	"N"	0	"log"	90	19	1710	0.0006	36.60961	-121.93145	"burgandy"			
"MC409"	"B. luciae"	"2/8/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.95	5.1	1.2911392405	17.2	16.92	38.81	0.4	"NA"	"N"	0	"log"	18	100	1800	0.0006	36.61007	-121.93138	"yellow. eggs"			
"MC412"	"B. luciae"	"2/8/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.67	5.15	1.4032697548	18.7	16.92	38.81	0.4	"NA"	"N"	0	"log"	94	28	2632	0.0004	36.60985	-121.93178	"3m from 413. burgandy."			
"MC424"	"B. luciae"	"2/28/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.5	4.83	1.38	13.2	16.92	38.81	0.83	"NA"	"N"	0	"log"	193	12	2316	0.0004	36.60966	-121.93049	"red"			
"MC425"	"B. luciae"	"2/28/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.68	4.31	1.1711956522	13.9	16.92	38.81	0.83	"NA"	"N"	0	"branch"	71	6	426	0.0023	36.60953	-121.93033	"3m from 422"			
"MC428"	"B. luciae"	"2/28/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.95	2.77	0.9389830508	12.9	16.92	38.81	0.83	"NA"	"N"	0	"log"	113	14	1582	0.0006	36.60984	-121.93024	"red"			
"MC430"	"B. luciae"	"2/28/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.38	4.53	1.3402366864	13.8	16.92	38.81	0.83	"NA"	"N"	0	"log"	93	14	1302	0.0008	36.60974	-121.93033				
"MC431"	"B. luciae"	"2/28/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		2.49	2.65	1.0642570281	14	16.92	38.81	0.83	"NA"	"N"	0	"branch"	83	9	747	0.0013	36.60984	-121.93028	"pink"			
"MC432"	"B. luciae"	"2/28/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.67	5.74	1.5640326975	14.4	16.92	38.81	0.83	"NA"	"N"	0	"log"	190	16	3040	0.0003	36.60984	-121.93028	"different piece of same log as 426-27. orange."			
"MC439"	"B. luciae"	"2/28/15"	"Rip Van Winkle Open Space"	"RV"	4	1	0	0	0	0	0		3.79	4.78	1.2612137203	14.4	16.92	38.81	0.83	"NA"	"N"	0	"branch"	150	7	1050	0.001	36.60975	-121.92995	"orange"			
