Zscore,longitude,latitude,year,group
1167.56,-118.4252046,36.81091124,2006,positive
1163.19,-118.4534131,36.64944199,2006,positive
1129.89,-118.4534131,36.64944199,2006,positive
1127.32,-118.4248318,36.81292848,2006,positive
1124.96,-118.4598532,36.64703823,2006,positive
1118.62,-118.4252046,36.81091124,2006,positive
1117.34,-118.4534131,36.64944199,2006,positive
1108.32,-118.4583957,36.65046822,2006,positive
1104.04,-118.4235152,36.81222305,2006,positive
1052.62,-118.4530614,36.64612971,2006,positive
1014.67,-118.4583957,36.65046822,2006,positive
999.48,-118.4583957,36.65046822,2006,positive
985.46,-118.4252046,36.81091124,2006,positive
977.65,-118.4252046,36.81091124,2006,positive
969.13,-118.4176384,36.81466472,2006,positive
943.32,-118.4598532,36.64703823,2006,positive
916.13,-118.4235152,36.81222305,2006,positive
907.24,-118.4598532,36.64703823,2006,positive
904.15,-118.4534131,36.64944199,2006,positive
897.14,-118.4232941,36.81456708,2006,positive
895.83,-118.4583957,36.65046822,2006,positive
882.16,-118.4252046,36.81091124,2006,positive
867.48,-118.4248318,36.81292848,2006,positive
859.81,-118.4252046,36.81091124,2006,positive
854.16,-118.4232941,36.81456708,2006,positive
845.8,-118.4235152,36.81222305,2006,positive
844.29,-118.4553895,36.65016068,2006,positive
839.27,-118.4534131,36.64944199,2006,positive
814.08,-118.4534131,36.64944199,2006,positive
803.2,-118.4252046,36.81091124,2006,positive
798.14,-118.4530614,36.64612971,2006,positive
792.99,-118.4530614,36.64612971,2006,positive
784.33,-118.4255988,36.81570643,2006,positive
781.39,-118.4534131,36.64944199,2006,positive
780.66,-118.4583957,36.65046822,2006,positive
773.71,-118.4252046,36.81091124,2006,positive
771.33,-118.4252046,36.81091124,2006,positive
767.69,-118.4553895,36.65016068,2006,positive
761.65,-118.4553895,36.65016068,2006,positive
750.06,-118.4583957,36.65046822,2006,positive
749.64,-118.4583957,36.65046822,2006,positive
738.43,-118.4534131,36.64944199,2006,positive
737.84,-118.4248318,36.81292848,2006,positive
737.31,-118.4583957,36.65046822,2006,positive
733.64,-118.4176384,36.81466472,2006,positive
727.44,-118.4553895,36.65016068,2006,positive
715.98,-118.4583957,36.65046822,2006,positive
710.51,-118.4534131,36.64944199,2006,positive
708.63,-118.4530614,36.64612971,2006,positive
702.89,-118.4252046,36.81091124,2006,positive
695.96,-118.4534131,36.64944199,2006,positive
665.31,-118.4553895,36.65016068,2006,positive
652.18,-118.4168401,36.81332175,2006,positive
650.46,-118.4252046,36.81091124,2006,positive
635.39,-118.4252046,36.81091124,2006,positive
615.37,-118.4255988,36.81570643,2006,positive
603.26,-118.4252046,36.81091124,2006,positive
594.48,-118.4598532,36.64703823,2006,positive
